Nom,Année de naissance ,Année de premiere election,Groupe,Circonscription,Série,genre
Patrick Abate,1956,2011,CRC,Moselle,1,M
Philippe Adnot,1945,1989,RASNAG,Aube,2,M
Leila Aïchi,1970,2011,ÉCOLO,Paris,1,F
Pascal Allizard,1962,2014,UMP,Calvados,2,M
Michel Amiel,1954,2014,RASNAG,Bouches-du-Rhône,2,M
Michèle André,1947,2001,SOC,Puy-de-Dôme,1,M
Maurice Antiste,1953,2011,app. SOC,Martinique,1,M
Alain Anziani,1951,2008,SOC,Gironde,2,M
Aline Archimbaud,1948,2011,ÉCOLO,Seine-Saint-Denis,1,F
Guillaume Arnell,1958,2014,RDSE,Saint-Martin,2,M
Éliane Assassi,1958,2004,CRC,Seine-Saint-Denis,1,F
David Assouline,1959,2004,SOC,Paris,1,M
François Aubey,1960,2014,SOC,Calvados,2,M
Dominique Bailly,1960,2011,SOC,Nord,1,M
Gérard Bailly,1940,2001,UMP,Jura,1,M
Gilbert Barbier,1940,2001,RDSE,Jura,1,M
François Baroin,1965,2014,UMP,Aube,2,M
Philippe Bas,1958,2011,UMP,Manche,1,M
Delphine Bataille,1969,2011,SOC,Nord,1,F
Marie-France Beaufils,1946,2001,CRC,Indre-et-Loire,1,F
Christophe Béchu,1974,2011,UMP,Maine-et-Loire,1,M
Esther Benbassa,1950,2011,ÉCOLO,Val-de-Marne,1,F
Claude Bérit-Débat,1946,2008,SOC,Dordogne,2,M
Michel Berson,1945,2011,app. SOC,Essonne,1,M
Alain Bertrand,1951,2011,RDSE,Lozère,1,M
Jérôme Bignon,1949,2014,UMP,Somme,2,M
Jacques Bigot,1952,2014,SOC,Bas-Rhin,2,M
Annick Billon,1967,2014,UDI-UC,Vendée,2,F
Michel Billout,1958,2004,CRC,Seine-et-Marne,1,M
Jean Bizet,1947,1996,UMP,Manche,1,M
Marie-Christine Blandin,1952,2001,ÉCOLO,Nord,1,F
Maryvonne Blondin,1947,2008,SOC,Finistère,2,F
Jean-Marie Bockel,1950,2004,UDI-UC,Haut-Rhin,2,M
Éric Bocquet,1957,2011,CRC,Nord,1,M
François Bonhomme,1969,2014,ratt. UMP,Tarn-et-Garonne,2,M
Philippe Bonnecarrère,1955,2014,UDI-UC,Tarn,2,M
Nicole Bonnefoy,1958,2008,SOC,Charente,2,M
Jean-Pierre Bosino,1959,2014,CRC,Oise,1,M
Yannick Botrel,1951,2008,SOC,Côtes-d'Armor,2,M
Natacha Bouchart,1963,2011,UMP,Pas-de-Calais,1,F
Gilbert Bouchet,1947,2014,UMP,Drôme,2,M
Corinne Bouchoux,1964,2011,ÉCOLO,Maine-et-Loire,1,F
Jean-Claude Boulard,1943,2014,SOC,Sarthe,2,M
Martial Bourquin,1952,2008,SOC,Doubs,2,M
